lat,lon,elevation,ai_risk_score
13.0807843,80.2651669,8.0,0.99626654
13.0802951,80.2627848,3.0,0.9864298
13.0794309,80.2587734,12.0,0.74785465
13.0789975,80.2546809,7.0,0.78327936
13.0788454,80.2532029,10.0,0.30264086
13.0788878,80.2516867,9.0,0.8510151
13.0788576,80.2501014,9.0,0.44663873
13.0773336,80.2406122,13.0,0.2097069
13.0766849,80.2380064,15.0,0.19491425
13.0758601,80.2338889,10.0,0.55894655
13.0741092,80.229074,14.0,0.19491425
13.0739518,80.2247736,13.0,0.19491425
13.0769454,80.2117598,16.0,0.19491425
13.0769988,80.2069314,14.0,0.19491425
13.0763573,80.2015481,15.0,0.7177517
13.0741036,80.1911704,13.0,0.33862314
13.0714757,80.1861915,15.0,0.19491425
13.0644252,80.1716526,17.0,0.19491425
13.0822677,80.2816254,7.0,0.99994516
13.0109201,80.2170576,16.0,0.19491425
13.012363,80.2210838,11.0,0.19491425
13.0154974,80.2253737,11.0,0.5418542
13.0280247,80.2353917,11.0,0.82908916
13.0311611,80.2396609,8.0,0.63942295
13.034031,80.24451,11.0,0.70987254
13.0488046,80.2497282,16.0,0.19491425
13.0557701,80.2555623,13.0,0.25842583
13.0566976,80.2566721,16.0,0.19491425
13.0577844,80.2576907,15.0,0.19491425
13.0681313,80.2712749,12.0,0.93386984
13.0716541,80.2743139,6.0,0.9975458
13.0717936,80.2743746,6.0,0.9988391
13.1199132,80.1992866,12.0,0.8570223
13.0806313,80.198514,16.0,0.33293647
13.0764358,80.1990264,7.0,0.2257973
13.0754064,80.1990697,13.0,0.19491425
13.0499473,80.21188,15.0,0.20302056
13.0347728,80.2125689,14.0,0.25030246
13.0351031,80.2103689,12.0,0.19600922
13.032358,80.2095735,13.0,0.19491425
13.0222375,80.2063264,14.0,0.22297283
13.0197889,80.2062735,11.0,0.3805714
13.0190019,80.2060881,11.0,0.22389945
13.0361539,80.1534309,18.0,0.19491425
13.0344292,80.1571727,19.0,0.19491425
13.0148013,80.1929426,12.0,0.19491425
13.0380739,80.2566429,12.0,0.28889996
13.0394741,80.2470503,13.0,0.555532
13.0287832,80.2497725,10.0,0.19491425
13.0324844,80.2525217,10.0,0.44856352
13.0448445,80.2598438,14.0,0.31200758
13.0396216,80.2525162,13.0,0.22337125
13.0388392,80.2571665,9.0,0.68012464
13.0386451,80.25237,13.0,0.21550427
13.0400724,80.2504421,10.0,0.83489096
13.0401481,80.2518552,10.0,0.65702397
13.0414962,80.2519579,12.0,0.5916529
13.0393041,80.2545661,12.0,0.45546564
13.0389572,80.2502825,11.0,0.8216879
13.0387699,80.2515707,12.0,0.4849477
13.0411381,80.2548625,9.0,0.89424276
13.0400851,80.2579571,11.0,0.929047
13.0403949,80.252592,15.0,0.19491425
13.0404152,80.2504403,10.0,0.78554815
13.0404836,80.2472563,10.0,0.63700783
13.0394835,80.2517109,13.0,0.71598226
13.040743,80.2504311,8.0,0.87755585
13.0408027,80.2519856,13.0,0.7319501
13.0387852,80.2513739,11.0,0.58640355
13.034865,80.2570577,11.0,0.5723993
13.0350631,80.254416,12.0,0.34939927
13.0355957,80.2459911,10.0,0.24736668
13.0367207,80.2536552,12.0,0.19505844
13.0366765,80.2556236,12.0,0.36284864
13.018654,80.2599022,8.0,0.99789584
13.0222409,80.259261,8.0,0.990862
13.028028,80.2563692,9.0,0.6018139
13.0315214,80.2567128,11.0,0.3729675
13.0439483,80.2719121,7.0,0.92578393
13.0432766,80.2764744,8.0,0.99815446
12.8976224,80.2474759,9.0,0.9766449
12.9012737,80.2486642,5.0,0.9998603
12.9099942,80.2500562,7.0,0.99960095
12.9145818,80.2504002,9.0,0.99817157
12.9197264,80.2511506,8.0,0.9994356
12.9616653,80.2562055,7.0,0.99945325
12.9667299,80.2570185,8.0,0.9996178
12.8687688,80.2434882,10.0,0.9809806
12.8628043,80.2420304,8.0,0.9912913
12.9245103,80.2512176,6.0,0.9998425
12.9207222,80.251404,7.0,0.9976618
12.9082282,80.2498618,11.0,0.9991111
12.905517,80.2492449,7.0,0.9998807
13.0826299,80.288992,5.0,0.99802834
13.0334551,80.2773791,12.0,0.23593234
